          disabled      enabled
count    20.000000    20.000000
mean   1618.310000  1671.972000
std     902.566669   916.536444
min     564.590000   561.610000
25%     837.290000   893.922500
50%    1490.870000  1630.665000
75%    2077.317500  1902.885000
max    3541.280000  3543.010000
